"Plot Title: devo_1_2_0_0_0_0"
"#","Date Time, GMT-05:00","Intensity, Lux (LGR S/N: 1262011, SEN S/N: 1262011, LBL: light)","Coupler Attached (LGR S/N: 1262011)","Host Connected (LGR S/N: 1262011)","Stopped (LGR S/N: 1262011)","End Of File (LGR S/N: 1262011)"
1,03/01/16 04:55:00 PM,21.5,,,,
2,03/01/16 04:55:01 PM,10.8,,,,
3,03/01/16 04:55:02 PM,10.8,,,,
4,03/01/16 04:55:03 PM,10.8,,,,
5,03/01/16 04:55:04 PM,10.8,,,,
6,03/01/16 04:55:05 PM,10.8,,,,
7,03/01/16 04:55:06 PM,10.8,,,,
8,03/01/16 04:55:07 PM,10.8,,,,
9,03/01/16 04:55:08 PM,10.8,,,,
10,03/01/16 04:55:09 PM,10.8,,,,
11,03/01/16 04:55:10 PM,10.8,,,,
12,03/01/16 04:55:11 PM,10.8,,,,
13,03/01/16 04:55:12 PM,10.8,,,,
14,03/01/16 04:55:13 PM,10.8,,,,
15,03/01/16 04:55:14 PM,10.8,,,,
16,03/01/16 04:55:15 PM,10.8,,,,
17,03/01/16 04:55:16 PM,10.8,,,,
18,03/01/16 04:55:17 PM,10.8,,,,
19,03/01/16 04:55:18 PM,10.8,,,,
20,03/01/16 04:55:19 PM,10.8,,,,
21,03/01/16 04:55:20 PM,10.8,,,,
22,03/01/16 04:55:21 PM,10.8,,,,
23,03/01/16 04:55:22 PM,10.8,,,,
24,03/01/16 04:55:23 PM,10.8,,,,
25,03/01/16 04:55:24 PM,10.8,,,,
26,03/01/16 04:55:25 PM,10.8,,,,
27,03/01/16 04:55:26 PM,10.8,,,,
28,03/01/16 04:55:27 PM,10.8,,,,
29,03/01/16 04:55:28 PM,10.8,,,,
30,03/01/16 04:55:29 PM,10.8,,,,
31,03/01/16 04:55:30 PM,10.8,,,,
32,03/01/16 04:55:31 PM,10.8,,,,
33,03/01/16 04:55:32 PM,10.8,,,,
34,03/01/16 04:55:33 PM,10.8,,,,
35,03/01/16 04:55:34 PM,10.8,,,,
36,03/01/16 04:55:35 PM,10.8,,,,
37,03/01/16 04:55:36 PM,10.8,,,,
38,03/01/16 04:55:37 PM,10.8,,,,
39,03/01/16 04:55:38 PM,10.8,,,,
40,03/01/16 04:55:39 PM,10.8,,,,
41,03/01/16 04:55:40 PM,10.8,,,,
42,03/01/16 04:55:41 PM,10.8,,,,
43,03/01/16 04:55:42 PM,10.8,,,,
44,03/01/16 04:55:43 PM,10.8,,,,
45,03/01/16 04:55:44 PM,10.8,,,,
46,03/01/16 04:55:45 PM,10.8,,,,
47,03/01/16 04:55:46 PM,10.8,,,,
48,03/01/16 04:55:47 PM,10.8,,,,
49,03/01/16 04:55:48 PM,10.8,,,,
50,03/01/16 04:55:49 PM,10.8,,,,
51,03/01/16 04:55:50 PM,10.8,,,,
52,03/01/16 04:55:51 PM,10.8,,,,
53,03/01/16 04:55:52 PM,10.8,,,,
54,03/01/16 04:55:53 PM,10.8,,,,
55,03/01/16 04:55:54 PM,10.8,,,,
56,03/01/16 04:55:55 PM,10.8,,,,
57,03/01/16 04:55:56 PM,10.8,,,,
58,03/01/16 04:55:57 PM,10.8,,,,
59,03/01/16 04:55:58 PM,10.8,,,,
60,03/01/16 04:55:59 PM,10.8,,,,
61,03/01/16 04:56:00 PM,10.8,,,,
62,03/01/16 04:56:01 PM,10.8,,,,
63,03/01/16 04:56:02 PM,10.8,,,,
64,03/01/16 04:56:03 PM,10.8,,,,
65,03/01/16 04:56:04 PM,10.8,,,,
66,03/01/16 04:56:05 PM,10.8,,,,
67,03/01/16 04:56:06 PM,10.8,,,,
68,03/01/16 04:56:07 PM,10.8,,,,
69,03/01/16 04:56:08 PM,10.8,,,,
70,03/01/16 04:56:09 PM,10.8,,,,
71,03/01/16 04:56:10 PM,10.8,,,,
72,03/01/16 04:56:11 PM,10.8,,,,
73,03/01/16 04:56:12 PM,10.8,,,,
74,03/01/16 04:56:13 PM,10.8,,,,
75,03/01/16 04:56:14 PM,10.8,,,,
76,03/01/16 04:56:15 PM,10.8,,,,
77,03/01/16 04:56:16 PM,10.8,,,,
78,03/01/16 04:56:17 PM,10.8,,,,
79,03/01/16 04:56:18 PM,10.8,,,,
80,03/01/16 04:56:19 PM,10.8,,,,
81,03/01/16 04:56:20 PM,10.8,,,,
82,03/01/16 04:56:21 PM,10.8,,,,
83,03/01/16 04:56:22 PM,10.8,,,,
84,03/01/16 04:56:23 PM,10.8,,,,
85,03/01/16 04:56:24 PM,10.8,,,,
86,03/01/16 04:56:25 PM,10.8,,,,
87,03/01/16 04:56:26 PM,10.8,,,,
88,03/01/16 04:56:27 PM,10.8,,,,
89,03/01/16 04:56:28 PM,10.8,,,,
90,03/01/16 04:56:29 PM,10.8,,,,
91,03/01/16 04:56:30 PM,10.8,,,,
92,03/01/16 04:56:31 PM,10.8,,,,
93,03/01/16 04:56:32 PM,10.8,,,,
94,03/01/16 04:56:33 PM,10.8,,,,
95,03/01/16 04:56:34 PM,10.8,,,,
96,03/01/16 04:56:35 PM,10.8,,,,
97,03/01/16 04:56:36 PM,10.8,,,,
98,03/01/16 04:56:37 PM,10.8,,,,
99,03/01/16 04:56:38 PM,10.8,,,,
100,03/01/16 04:56:39 PM,10.8,,,,
101,03/01/16 04:56:40 PM,10.8,,,,
102,03/01/16 04:56:41 PM,10.8,,,,
103,03/01/16 04:56:42 PM,10.8,,,,
104,03/01/16 04:56:43 PM,10.8,,,,
105,03/01/16 04:56:44 PM,10.8,,,,
106,03/01/16 04:56:45 PM,10.8,,,,
